Gene	Alias
MS4A14	DKFZp434H092,NYD-SP21,MS4A16,FLJ32856
GLRX3	GLRX4,TXNL2,GRX3,PICOT,bA500G10.4,GRX4
SF3B5	MGC3133,SF3b10,Ysf3
SDHAF2	SDH5,FLJ20487,PGL2,C11orf79
POTEC	POTE18,POTE-18,DKFZp686J0529,CT104.6,A26B2
TRIM36	HAPRIN,RNF98,RBCC728
NKIRAS2	kappaB-Ras2,KBRAS2,DKFZP434N1526
RNASEH2C	AGS3,AYP1
SNX13	RGS-PX1,KIAA0713
ARHGEF18	KIAA0521,MGC15913,P114-RhoGEF,p114RhoGEF
DENND3	KIAA0870
ZNF534	FLJ25344,KRBO3
CBX4	NBP16,hPC2,PC2
HHIPL1	KIAA1822
PTPRD	HPTP,PTPD
SYDE1	7h3,SYD1,FLJ13511
FOXC2	MFH-1,FKHL14
CHST13	C4ST3
EMILIN3	C20orf130,dJ620E11.4,EMILIN5
TMEM14E	TMEM14EP
SLC5A9	SGLT4
MAK	RP62,dJ417M14.2
PRDM10	MGC131802,KIAA1231,PFM7
CIB3	KIP3
OSGEP	PRSMG1,KAE1,GCPL1,OSGEP1,TCS3
TMEM242	BM033,C6orf35
CYP2D6	CYP2D7P2,CYP2D,CYP2DL1,CYP2D8P2,P450C2D,CYP2D7AP,CYP2D7BP,P450-DB1,CPD6
CADPS	KIAA1121,CAPS1,UNC-31,CAPS
SLC52A2	D15Ertd747e,PAR1,hRFT3,FLJ11856,GPCR41,GPR172A,RFVT2
ADAM2	PH-30b,PH30,FTNB,CT15
HOXB6	HOX2,HOX2B
SERTAD1	TRIP-Br1,SEI1
UBA2	SAE2,HRIHFB2115,FLJ13058
SYCE2	CESC1
SNAP91	AP180,CALM,KIAA0656
TOR1AIP2	NET9,LULL1,IFRG15
SPDYE1	SPDYE,Ringo1,WBSCR19
TANGO6	TMCO7,FLJ12688,KIAA1746
RAB3D	RAD3D,D2-2,GOV,RAB16
MBOAT2	OACT2,FLJ14415,FLJ90298
CHCHD10	MIX17A,C22orf16,N27C7-4
TIA1	TIA-1
DDA1	C19orf58,PCIA1,MGC2594
ZNF197	D3S1363E,ZNF166,ZKSCAN9,P18,ZSCAN41
ITGAE	CD103,HUMINAE
H326	WDR42A,DCAF8,FLJ35857
TIE1	TIE,JTK14
YPEL4	FLJ30213
N6AMT2	EEF1AKMT1
TMED9	p24alpha2,HSGP25L2G,p24a2
APMAP	C20orf3,BSCv
CD84	mCD84,SLAMF5,hCD84
C9orf43	MGC17358
INHBE	MGC4638,activin
ZNF557	MGC4054
ALKBH6	MGC15677
GGN	MGC33369,FLJ35713
ZG16B	HRPE773,PRO1567,JCLN2
KDM4A	KIAA0677,JMJD2,TDRD14A,JHDM3A,JMJD2A
RHOT2	C16orf39,MIRO-2,ARHT2
NCSTN	KIAA0253,APH2
AOX1	AO,AOH1
PRIM2	PRIM2A
KRTAP3-3	KAP3.3
CPT1B	M-CPT1,CPT1-M
FGFR1OP	CEP43
ABI3	SSH3BP3,NESH
ERLIN2	SPFH2,Erlin-2,C8orf2,SPG18,NET32
CAV2	CAV
PIAS4	PIASY,ZMIZ6,FLJ12419,Piasg
ARPC2	ARC34,p34-Arc
C17orf97	LOC400566,LIAT1
TYK2	JTK1
PTPMT1	MOSP,PLIP,DUSP23
CYTIP	HE,B3-1,CASP,CYBR,PSCDBP,CYTHIP
LRFN1	SALM2,KIAA1484
SPRN	Shadoo,FLJ41197,bA108K14.1
GALNTL5	GALNT15,GalNAc-T5L
HLA-DPB1	HLA-DP1B
DEFB128	DEFB-28
SLC35F5	FLJ22004
CWH43	FLJ21511,CWH43-C,PGAP2IP
ATP5A1	ATP5F1A,ATPM,ATP5AL2
CDV3	H41
EFHC1	EJM,EJM1,POC9,RIB72,FLJ10466
LGALS7B	GAL7
KRTAP15-1	KAP15.1
KRTDAP	UNQ467,KDAP
LSMEM2	C3orf45,FLJ38608
ADAMTSL5	THSD6
CELF5	BRUNOL5
ICT1	MRPL58
MFSD10	IT10C3,TETRAN
VPS25	DERP9,MGC10540,EAP20
TMEM214	FLJ20254
C1orf228	NCRNA00082,ARMH1
PPP1CB	PP1c,PPP1beta,PP-1B,PP1B,PP1beta,MP
PLCL2	KIAA1092,PLCE2
SRPX	ETX1
IL21R	CD360
SRSF7	ZCCHC20,SFRS7,HSSG1,AAG3,ZCRB2,RBM37,9G8
DSCC1	MGC5528,hDCC1,DCC1
BTN3A2	BTN3.2
YIPF5	FinGER5,SMAP-5
KRIT1	CAM,CCM1
AAK1	DKFZp686K16132,KIAA1048
GYS1	GSY,GYS
ADM5	C19orf76,AM5
CDH17	cadherin,HPT-1
LRRC8C	AD158
RTN4RL1	DKFZp547J144,NgR3,NGRH2
CBL	c-Cbl,RNF55,CBL2
GPN3	ATPBD1C,MGC14560
ZNF791	FLJ90396
ABCG1	ABC8
ZNF85	HTF1,HPF4
CSTB	CST6,EPM1,PME,STFB
RPAP2	C1orf82,FLJ13150,Rtr1
CCDC30	PFD6L,FLJ20972,LOC728621
ARFIP1	HSU52521
POLI	RAD30B,RAD3OB
SLC25A6	ANT3Y,MGC17525,ANT3
PIK3C2B	C2-PI3K,PI3K-C2beta
ZNF90	HTF9
SUMO4	IDDM5,dJ281H8.4,SMT3H4
ANKS1B	cajalin-2,AIDA-1,EB-1,ANKS2
PGPEP1	PGP-I,PGPI,Pcp,PGP
